_ID,city_label,longitude,latitude,geff2005,geff2006,geff2007,geff2008,geff2009,geff2010,geff2011,geff2012,geff2013,geff2014,geff2015,geff2016,geff2017,geff2018,geff2019
259,鄂尔多斯市,109.7813,39.6083,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
260,鄂州市,114.8948,30.3919,0.3294,0.4833,0.3868,0.3892,0.3963,0.4175,0.3882,0.4108,0.4399,0.3952,0.4359,0.5042,0.4978,0.4713,0.5351
261,酒泉市,98.4945,39.7324,0.5977,0.7110,0.6730,0.6491,0.7810,0.7808,0.7152,0.6825,0.6294,0.5576,0.4751,0.5202,0.5940,0.6126,0.5479
262,重庆市,106.5516,29.5630,0.3481,0.4632,0.4364,0.4249,0.4662,0.5013,0.5183,0.4115,0.4378,0.4252,0.4031,0.5427,0.5927,0.5564,0.6721
263,金华市,119.6474,29.0791,0.9778,0.8918,1.0000,1.0000,0.9490,1.0000,0.9347,0.8937,0.8942,0.9190,0.8484,0.8324,0.7559,0.6291,0.7705
265,钦州市,108.6541,21.9799,0.5045,0.6415,0.6236,0.7136,0.4933,0.6067,0.6020,0.5904,0.6149,0.6472,0.6690,0.6778,0.7256,0.6854,0.6317
266,铁岭市,123.7262,42.2238,0.4831,0.6440,0.5844,0.5508,0.5549,0.7345,0.6392,0.6337,0.6112,0.7330,0.7423,1.0000,1.0000,0.5423,0.4645
268,铜川市,108.9452,34.8968,0.3664,0.4090,0.4219,0.4412,0.4374,0.5438,0.7281,0.5097,0.5530,0.5223,0.4762,0.4262,0.4351,0.3616,0.3422
269,铜陵市,117.8121,30.9454,0.3625,0.6047,0.5756,0.4799,0.4119,0.4798,0.5028,0.4929,0.5867,0.6346,0.7039,0.6065,0.6560,0.6230,0.4545
271,锦州市,121.1270,41.0951,0.4726,0.7661,0.6830,0.7289,0.7568,0.6151,0.6231,0.6226,0.7394,0.6522,0.6814,0.7368,0.8047,0.7551,0.6340
272,镇江市,119.4258,32.1878,0.6582,0.7801,0.7451,0.7313,0.7663,0.7901,0.7229,0.7759,0.8787,0.8989,0.9265,0.8631,1.0000,1.0000,1.0000
273,长春市,125.3235,43.8171,0.9552,0.7584,0.7401,0.7654,0.7939,0.7123,0.7779,0.7469,0.7708,0.7658,0.8245,0.8596,0.7369,0.7712,0.6169
274,长沙市,112.9388,28.2282,0.8030,0.9405,0.9305,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
275,长治市,113.1163,36.1954,0.3038,0.5816,0.5387,0.5939,0.5515,0.5336,0.5702,0.6244,0.5650,0.5104,0.4183,0.4344,0.4702,0.4346,0.3904
276,阜新市,121.6703,42.0216,0.2167,0.3930,0.5663,0.4158,0.4714,0.6173,0.4268,0.5591,0.5881,1.0000,1.0000,1.0000,1.0000,1.0000,0.5830
277,阜阳市,115.8142,32.8901,0.7496,0.7272,0.6960,0.6493,0.6610,0.6751,0.6390,0.6503,0.6908,0.7233,0.6475,0.5511,0.5444,0.4872,0.6844
278,防城港市,108.3538,21.6869,0.9426,0.6020,0.5832,0.5680,0.4635,0.5542,0.4961,0.4963,0.6327,0.7663,0.6937,0.9039,0.9050,0.8083,0.8903
279,阳江市,111.9822,21.8580,0.9606,0.8813,0.8036,0.8284,0.7921,0.8029,0.7767,0.7709,0.7186,0.7668,0.7868,0.8669,0.8550,0.9747,0.8581
280,阳泉市,113.5805,37.8570,0.4080,0.6623,0.6076,0.6820,1.0000,0.5120,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5117
281,陇南市,104.9218,33.4007,0.8831,0.8427,0.9097,0.9478,0.7199,0.6164,0.6146,0.7557,0.4606,0.4386,0.4479,0.3721,0.3606,0.3454,0.4808
282,随州市,113.3825,31.6902,0.7777,0.7452,0.7586,0.7529,0.7208,0.7362,0.8426,0.8211,0.7796,0.8156,1.0000,0.7857,1.0000,0.9968,1.0000
283,雅安市,103.0133,29.9805,0.5799,0.6296,0.6445,0.6303,0.6210,0.6998,0.5926,0.6125,0.6455,0.6206,0.6641,0.6164,0.6338,0.6415,0.6699
284,青岛市,120.3826,36.0671,0.7382,0.8042,0.8358,0.8757,0.9339,0.8990,0.8898,0.8964,0.9083,0.9189,0.9191,0.9035,0.9121,0.8947,0.9377
285,鞍山市,122.9943,41.1086,0.6343,0.7969,0.8471,0.7733,0.7577,0.7966,0.6060,0.5718,0.5809,0.4936,0.5761,0.6901,0.7507,1.0000,1.0000
286,韶关市,113.5975,24.8104,0.3866,0.4934,0.4236,0.4069,0.4126,0.4154,0.4376,0.4954,0.5737,0.5510,0.6013,0.5994,0.5662,0.4970,0.4896
287,马鞍山市,118.5068,31.6705,0.5130,0.5725,0.5840,0.4903,0.4506,0.4974,0.5128,0.5276,0.6523,0.6878,0.7355,0.7172,0.9861,0.6191,0.7019
288,驻马店市,114.0223,33.0115,0.6876,0.6463,0.6184,0.6243,0.6271,0.6475,0.5702,0.5874,0.5905,0.5892,0.5486,0.5706,0.6900,0.7371,0.6012
289,鸡西市,130.9693,45.2951,0.8296,0.9578,0.6885,0.6541,0.5488,0.4442,0.4385,0.5022,0.6476,0.6944,0.5726,0.6551,0.4887,0.4510,0.4573
290,鹤壁市,114.2973,35.7472,0.2937,0.5116,0.4222,0.4206,0.3963,0.3935,0.4138,0.4431,0.4820,0.4646,0.4570,0.4237,0.4509,0.5586,0.5999
291,鹤岗市,130.2980,47.3499,0.5002,0.6271,0.3931,0.3875,0.3747,0.3249,0.3521,0.4234,0.5156,1.0000,1.0000,0.6449,0.2757,0.2774,0.3017
292,鹰潭市,117.0692,28.2602,1.0000,1.0000,1.0000,0.9821,0.8102,0.7179,0.7800,0.8134,0.8039,0.8326,0.6729,0.7030,0.6825,0.6139,0.7526
294,黄山市,118.3375,29.7147,0.7322,0.8204,0.9432,0.8868,0.8474,0.8344,0.7297,0.7276,0.7211,0.7376,0.7091,0.6357,0.6217,0.5961,0.7126
295,黄石市,115.0385,30.1997,0.3808,0.5903,0.4317,0.4442,0.3846,0.3071,0.4305,0.4864,0.5240,0.4964,0.4806,0.4830,0.5317,0.5285,0.6032
296,黑河市,127.5286,50.2453,1.0000,0.8782,1.0000,1.0000,1.0000,1.0000,0.5467,0.5343,0.6526,0.7760,0.5604,0.7270,0.7272,0.6207,0.5899
297,齐齐哈尔市,123.9182,47.3543,0.6220,0.7471,0.4887,0.4754,0.4917,0.4801,0.7242,0.8968,0.8656,0.8830,0.6554,0.6303,0.5674,0.4884,0.4826
298,龙岩市,117.0175,25.0751,0.4771,0.6632,0.5883,0.6281,0.6490,0.6375,0.6286,0.6492,0.6852,0.7808,0.7715,0.7446,0.7250,0.7240,0.8502
