序号,板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
4152,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4153,主板,湖南景峰医药股份有限公司,景峰医药,000908.SZ,制造业,湖南省,岳阳市,37.3  
4154,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4155,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4156,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4157,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4158,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4159,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4160,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4161,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4162,中小企业板,天马轴承集团股份有限公司,天马股份,002122.SZ,制造业,浙江省,杭州市,37.2  
4163,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4164,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4165,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4166,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4167,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4168,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4169,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4170,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4171,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4172,创业板,深圳开立生物医疗科技股份有限公司,开立医疗,300633.SZ,制造业,广东省,深圳市,37.1  
4173,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4174,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4175,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4176,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4177,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4178,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4179,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4180,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4181,中小企业板,深圳市芭田生态工程股份有限公司,芭田股份,002170.SZ,制造业,广东省,深圳市,37.1  
4182,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4183,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4184,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4185,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4186,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4187,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4188,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4189,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4190,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4191,中小企业板,上海神开石油化工装备股份有限公司,神开股份,002278.SZ,制造业,上海,上海市,36.9  
4192,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4193,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4194,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4195,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4196,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4197,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4198,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4199,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4200,中小企业板,安徽鸿路钢结构(集团)股份有限公司,鸿路钢构,002541.SZ,制造业,安徽省,合肥市,36.8  
4201,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4202,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4203,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4204,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4205,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4206,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4207,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4208,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4209,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4210,主板,南京华脉科技股份有限公司,华脉科技,603042.SH,制造业,江苏省,南京市,36.8  
4211,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4212,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4213,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4214,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4215,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4216,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4217,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4218,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4219,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4220,创业板,安科瑞电气股份有限公司,安科瑞,300286.SZ,制造业,上海,上海市,36.7  
4221,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4222,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4223,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4224,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4225,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4226,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4227,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4228,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4229,主板,江西铜业股份有限公司,江西铜业,600362.SH,制造业,江西省,贵溪市,36.7  
4230,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4231,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4232,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4233,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4234,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4235,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4236,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4237,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4238,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4239,中小企业板,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,002353.SZ,制造业,山东省,烟台市,36.5  
4240,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
4241,中小企业板,葵花药业集团股份有限公司,葵花药业,002737.SZ,制造业,黑龙江省,哈尔滨市,36.5  
