板块,公司全称,公司简称,公司代码,所属行业,省份,城市,专利记分牌得分 ↑
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,紫光股份有限公司,紫光股份,000938.SZ,制造业,北京,北京市,631.7
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,长城汽车股份有限公司,长城汽车,601633.SH,制造业,河北省,保定市,546.3
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国电力建设股份有限公司,中国电建,601669.SH,建筑业,北京,北京市,540.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,中国中铁股份有限公司,中国中铁,601390.SH,建筑业,北京,北京市,538.4
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
主板,三一重工股份有限公司,三一重工,600031.SH,制造业,北京,北京市,531.6
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
中小企业板,海洋王照明科技股份有限公司,海洋王,002724.SZ,制造业,广东省,深圳市,530
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,重庆长安汽车股份有限公司,长安汽车,000625.SZ,制造业,重庆,重庆市,515.3
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
主板,中国建筑股份有限公司,中国建筑,601668.SH,建筑业,北京,北京市,505.5
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
中小企业板,歌尔股份有限公司,歌尔股份,002241.SZ,制造业,山东省,潍坊市,461.1
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,徐工集团工程机械股份有限公司,徐工机械,000425.SZ,制造业,江苏省,徐州市,453.6
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
主板,潍柴动力股份有限公司,潍柴动力,000338.SZ,制造业,山东省,潍坊市,437.3
